Iceland, Life expectancy at birth (cohort, 1x10)	Last modified: 24 Apr 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1838-1839     33.77    30.31    32.05
1840-1849     37.52    31.19    34.28
1850-1859     39.22    34.11    36.64
1860-1869     41.40    35.49    38.38
1870-1879     45.44    39.75    42.58
1880-1889     48.13    43.33    45.67
1890-1899     57.53    53.07    55.26
1900-1909     60.55    55.10    57.71
1910-1919     67.45    60.54    63.86
1920-1929     73.21    66.86    69.91
1930-1931     75.93    70.70    73.24
