Denmark, Life expectancy at birth (cohort, 1x10)	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1835-1839     45.54    42.91    44.21
1840-1849     45.30    42.90    44.09
1850-1859     46.68    44.74    45.71
1860-1869     49.08    47.35    48.22
1870-1879     51.45    49.96    50.70
1880-1889     54.01    51.93    52.97
1890-1899     58.87    54.81    56.84
1900-1909     64.30    58.73    61.50
1910-1919     68.18    61.93    65.01
1920-1929     70.78    64.40    67.55
1930-1932     72.22    66.35    69.24
