Sweden, Life expectancy at birth (cohort, 1x10)	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1751-1759     36.53    33.56    35.04
1760-1769     35.74    32.49    34.12
1770-1779     36.79    33.44    35.12
1780-1789     38.58    34.97    36.79
1790-1799     39.83    35.77    37.78
1800-1809     40.40    36.06    38.20
1810-1819     43.78    39.65    41.69
1820-1829     46.83    42.96    44.88
1830-1839     47.99    43.99    45.97
1840-1849     48.54    44.82    46.67
1850-1859     48.29    45.08    46.67
1860-1869     49.71    46.99    48.35
1870-1879     50.86    48.44    49.64
1880-1889     54.71    51.74    53.22
1890-1899     59.00    54.81    56.89
1900-1909     64.82    59.70    62.22
1910-1919     69.65    63.61    66.56
1920-1929     74.44    67.67    70.98
1930-1932     76.73    70.19    73.41
