Norway, Life expectancy at birth (cohort, 1x10)	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1846-1849     51.80    48.81    50.31
1850-1859     52.23    49.44    50.85
1860-1869     52.14    48.82    50.52
1870-1879     53.47    50.19    51.85
1880-1889     55.32    51.87    53.62
1890-1899     59.85    54.77    57.29
1900-1909     65.37    59.31    62.32
1910-1919     70.34    62.95    66.55
1920-1929     74.99    67.35    71.06
1930-1932     77.34    70.11    73.62
