Poland,  Births (1-year)	Last modified: 13 Apr 2021;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1958          365317    390142    755459
1959          347422    375506    722928
1960          322672    346813    669485
1961          302415    325209    627624
1962          288503    311002    599505
1963          284629    304720    589349
1964          272374    291547    563921
1965          264886    282511    547397
1966          257080    274236    531316
1967          252831    268986    521817
1968          254465    271286    525751
1969          257981    274847    532828
1970          265004    282815    547819
1971          273661    290720    564381
1972          279721    298172    577893
1973          291932    308930    600862
1974          300557    323093    623650
1975          312287    334094    646381
1976          325717    347147    672864
1977          321790    343431    665221
1978          324568    344744    669312
1979          334826    356403    691229
1980          338642    357117    695759
1981          331182    350475    681657
1982          342282    363074    705356
1983          351690    371915    723605
1984          340432    361288    701720
1985          330486    349605    680091
1986          309769    327444    637213
1987          294753    313037    607790
1988          286925    303013    589938
1989          273439    290992    564431
1990          266056    281664    547720
1991          266008    281711    547719
1992          250950    264264    515214
1993          240376    253934    494310
1994          234901    246384    481285
1995          210449    222660    433109
1996          207518    220685    428203
1997          200293    212342    412635
1998          191674    203945    395619
1999          185591    196411    382002
2000          183524    194824    378348
2001          178684    189521    368205
2002          171629    182136    353765
2003          170438    180634    351072
2004          172709    183422    356131
2005          176998    187385    364383
2006          181726    192518    374244
2007          188535    199338    387873
2008          201553    212946    414499
2009          202681    214908    417589
2010          198872    214428    413300
2011          188495    199921    388416
2012          187561    198696    386257
2013          179659    189917    369576
2014          182069    193091    375160
2015          179631    189677    369308
2016          186036    196221    382257
2017          195572    206410    401982
2018          188987    200468    389455
2019          182269    192685    374954
