England and Wales, Civilian National Population, Life expectancy at birth (period, 1x5)	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1841-1844     42.57    40.62    41.58
1845-1849     40.40    38.47    39.42
1850-1854     41.96    39.92    40.92
1855-1859     42.37    40.33    41.33
1860-1864     42.77    40.38    41.56
1865-1869     42.84    40.07    41.43
1870-1874     43.78    40.62    42.18
1875-1879     45.15    41.80    43.46
1880-1884     46.46    43.34    44.89
1885-1889     47.55    44.37    45.95
1890-1894     47.17    43.82    45.48
1895-1899     48.43    44.91    46.65
1900-1904     50.46    46.64    48.53
1905-1909     53.30    49.55    51.42
1910-1914     55.45    51.45    53.45
1915-1919     54.99    47.83    51.85
1920-1924     60.12    56.03    58.09
1925-1929     61.31    57.25    59.29
1930-1934     63.09    59.00    61.06
1935-1939     65.12    60.79    62.97
1940-1944     66.23    60.44    63.54
1945-1949     69.80    64.96    67.44
1950-1954     72.11    66.90    69.56
1955-1959     73.54    67.86    70.77
1960-1964     74.15    68.16    71.21
1965-1969     74.95    68.70    71.87
1970-1974     75.42    69.18    72.34
1975-1979     76.15    70.02    73.13
1980-1984     77.23    71.29    74.31
1985-1989     78.00    72.32    75.22
1990-1994     79.01    73.58    76.36
1995-1999     79.70    74.68    77.25
2000-2004     80.71    76.17    78.50
2005-2009     81.82    77.64    79.79
2010-2014     82.90    79.10    81.04
2015-2019     83.17    79.51    81.36
2020-2021     82.67    78.65    80.65
