Italy , Life expectancy at birth (period, 1x5)	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1872-1874     31.60    30.97    31.27
1875-1879     34.05    33.54    33.78
1880-1884     34.90    34.54    34.71
1885-1889     36.86    36.94    36.89
1890-1894     39.27    39.15    39.20
1895-1899     42.15    41.79    41.96
1900-1904     43.42    43.02    43.21
1905-1909     44.86    44.15    44.49
1910-1914     48.14    47.36    47.73
1915-1919     41.96    32.42    36.86
1920-1924     50.39    49.05    49.70
1925-1929     52.85    51.05    51.94
1930-1934     56.71    54.39    55.55
1935-1939     57.82    55.03    56.43
1940-1944     57.68    48.91    53.11
1945-1949     62.56    58.42    60.50
1950-1954     68.07    64.38    66.25
1955-1959     70.60    66.05    68.35
1960-1964     72.25    66.89    69.59
1965-1969     73.65    67.92    70.80
1970-1974     75.12    69.08    72.11
1975-1979     76.70    70.13    73.41
1980-1984     78.02    71.38    74.72
1985-1989     79.48    72.95    76.26
1990-1994     80.63    74.03    77.38
1995-1999     81.74    75.45    78.67
2000-2004     82.97    77.16    80.16
2005-2009     84.01    78.72    81.47
2010-2014     84.72    79.95    82.44
2015-2019     85.07    80.70    82.97
2020-2021     84.59    80.05    82.36
