Norway, Life expectancy at birth (period, 1x5)	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1846-1849     48.05    44.88    46.45
1850-1854     51.07    47.84    49.45
1855-1859     52.02    48.97    50.50
1860-1864     48.42    45.96    47.20
1865-1869     50.57    47.29    48.93
1870-1874     51.17    48.01    49.59
1875-1879     51.22    48.37    49.79
1880-1884     51.24    48.73    49.99
1885-1889     51.99    49.49    50.76
1890-1894     51.70    48.27    50.01
1895-1899     55.01    51.29    53.16
1900-1904     56.66    53.51    55.10
1905-1909     57.70    55.11    56.43
1910-1914     59.56    56.31    57.96
1915-1919     57.54    54.21    55.89
1920-1924     62.23    59.75    61.01
1925-1929     64.28    61.45    62.89
1930-1934     66.32    63.46    64.90
1935-1939     68.07    64.77    66.43
1940-1944     68.65    63.16    65.86
1945-1949     71.88    68.29    70.08
1950-1954     74.40    70.84    72.62
1955-1959     75.54    71.41    73.46
1960-1964     75.90    71.08    73.45
1965-1969     76.73    71.16    73.88
1970-1974     77.57    71.30    74.36
1975-1979     78.48    72.10    75.22
1980-1984     79.43    72.68    75.98
1985-1989     79.63    72.93    76.22
1990-1994     80.23    74.15    77.17
1995-1999     81.04    75.35    78.21
2000-2004     81.72    76.61    79.20
2005-2009     82.77    78.20    80.53
2010-2014     83.55    79.40    81.50
2015-2019     84.36    80.82    82.62
2020-2023     84.65    81.34    83.00
