Belgium, Life expectancy at birth (period, 1x5)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1841-1844     40.22    40.42    40.32
1845-1849     37.39    37.07    37.24
1850-1854     41.40    41.42    41.42
1855-1859     39.93    39.21    39.57
1860-1864     42.57    41.52    42.03
1865-1869     40.23    38.58    39.38
1870-1874     41.54    39.61    40.54
1875-1879     44.99    42.48    43.69
1880-1884     45.84    42.90    44.32
1885-1889     46.65    43.40    44.97
1890-1894     46.29    42.77    44.47
1895-1899     49.16    45.72    47.39
1900-1904     50.47    47.12    48.75
1905-1909     51.92    48.62    50.23
1910-1914     53.11    49.56    51.30
1915-1919         .        .        .
1920-1924     57.41    53.85    55.60
1925-1929     58.54    54.91    56.69
1930-1934     60.59    56.65    58.58
1935-1939     62.23    57.87    60.00
1940-1944     61.62    55.06    58.19
1945-1949     65.62    60.16    62.82
1950-1954     70.13    65.12    67.59
1955-1959     72.09    66.71    69.37
1960-1964     73.23    67.28    70.21
1965-1969     73.83    67.62    70.68
1970-1974     74.67    68.22    71.40
1975-1979     75.85    69.28    72.54
1980-1984     77.15    70.46    73.80
1985-1989     78.46    71.77    75.13
1990-1994     79.65    72.97    76.34
1995-1999     80.53    74.03    77.32
2000-2004     81.26    75.18    78.26
2005-2009     82.20    76.67    79.49
2010-2014     82.95    77.85    80.44
2015-2019     83.64    79.03    81.37
2020-2022     83.62    79.11    81.38
