Scotland, Life expectancy at birth (period, 1x5)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1855-1859     45.03    41.95    43.54
1860-1864     43.02    40.45    41.77
1865-1869     43.81    41.09    42.48
1870-1874     42.97    40.11    41.56
1875-1879     44.92    42.25    43.61
1880-1884     46.11    43.47    44.81
1885-1889     47.47    45.22    46.37
1890-1894     46.67    44.30    45.50
1895-1899     48.12    45.27    46.71
1900-1904     49.29    46.24    47.77
1905-1909     51.12    48.35    49.75
1910-1914     52.99    49.90    51.46
1915-1919     52.46    48.99    50.73
1920-1924     56.74    53.39    55.07
1925-1929     58.44    54.73    56.59
1930-1934     59.90    56.29    58.10
1935-1939     61.77    57.74    59.77
1940-1944     62.87    55.70    59.62
1945-1949     66.40    61.89    64.19
1950-1954     69.46    64.88    67.22
1955-1959     71.27    65.93    68.66
1960-1964     72.15    66.23    69.24
1965-1969     73.09    66.95    70.08
1970-1974     73.75    67.37    70.61
1975-1979     74.49    68.19    71.40
1980-1984     75.51    69.36    72.51
1985-1989     76.31    70.35    73.41
1990-1994     77.22    71.52    74.45
1995-1999     78.01    72.40    75.28
2000-2004     78.91    73.57    76.31
2005-2009     79.87    75.10    77.55
2010-2014     80.93    76.77    78.91
2015-2019     81.12    77.07    79.13
2020-2021     80.65    76.28    78.47
