Australia, Life expectancy at birth (period, 1x5)	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1921-1924     64.12    60.18    61.99
1925-1929     65.09    61.16    62.98
1930-1934     67.18    63.44    65.19
1935-1939     67.67    63.55    65.50
1940-1944     68.57    64.55    66.47
1945-1949     70.85    66.31    68.49
1950-1954     72.15    66.66    69.28
1955-1959     73.51    67.49    70.36
1960-1964     74.22    67.83    70.88
1965-1969     74.36    67.65    70.85
1970-1974     75.12    68.26    71.56
1975-1979     77.04    70.00    73.42
1980-1984     78.52    71.63    75.01
1985-1989     79.26    72.88    76.03
1990-1994     80.59    74.58    77.57
1995-1999     81.54    75.88    78.72
2000-2004     82.70    77.62    80.18
2005-2009     83.66    79.02    81.36
2010-2014     84.37    80.20    82.30
2015-2019     84.95    80.89    82.92
2020-2021     85.56    81.56    83.56
