Portugal, Life expectancy at birth (period, 1x5)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1940-1944     52.82    48.25    50.58
1945-1949     57.69    52.48    55.14
1950-1954     62.60    57.36    60.06
1955-1959     64.74    59.33    62.11
1960-1964     67.10    61.32    64.27
1965-1969     69.39    63.04    66.26
1970-1974     71.33    64.93    68.18
1975-1979     73.66    66.56    70.13
1980-1984     75.86    68.81    72.36
1985-1989     77.42    70.38    73.93
1990-1994     78.39    71.15    74.77
1995-1999     79.52    72.22    75.88
2000-2004     80.90    73.98    77.47
2005-2009     82.50    75.85    79.24
2010-2014     83.75    77.45    80.69
2015-2019     84.47    78.50    81.58
2020-2022     84.29    78.54    81.48
