Switzerland, Life expectancy at birth (period, 1x5)	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1876-1879     42.17    39.14    40.63
1880-1884     44.79    42.21    43.48
1885-1889     46.29    43.85    45.06
1890-1894     47.12    44.47    45.79
1895-1899     50.05    46.95    48.49
1900-1904     50.61    47.91    49.26
1905-1909     52.62    49.62    51.11
1910-1914     55.35    52.00    53.67
1915-1919     55.40    51.87    53.63
1920-1924     59.48    56.50    58.00
1925-1929     61.87    58.56    60.23
1930-1934     63.73    59.85    61.80
1935-1939     65.26    61.31    63.31
1940-1944     67.11    62.76    64.96
1945-1949     68.60    64.51    66.59
1950-1954     71.63    66.97    69.34
1955-1959     73.25    68.10    70.72
1960-1964     74.43    68.68    71.59
1965-1969     75.45    69.65    72.58
1970-1974     76.77    70.59    73.72
1975-1979     78.46    71.85    75.20
1980-1984     79.41    72.70    76.10
1985-1989     80.56    73.80    77.24
1990-1994     81.25    74.51    77.94
1995-1999     82.13    76.11    79.21
2000-2004     82.98    77.67    80.43
2005-2009     83.97    79.22    81.69
2010-2014     84.70    80.45    82.66
2015-2019     85.29    81.43    83.42
2020-2022     85.35    81.40    83.41
