Sweden, Life expectancy at birth (period, 1x5)	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1751-1754     39.24    36.15    37.72
1755-1759     36.86    33.95    35.42
1760-1764     36.56    33.69    35.15
1765-1769     37.88    34.85    36.37
1770-1774     31.29    28.72    30.00
1775-1779     38.13    36.00    37.07
1780-1784     37.74    34.71    36.22
1785-1789     37.65    33.87    35.74
1790-1794     39.74    36.84    38.29
1795-1799     40.74    37.74    39.24
1800-1804     39.14    36.27    37.70
1805-1809     35.67    32.42    34.03
1810-1814     37.03    33.51    35.26
1815-1819     41.52    38.13    39.83
1820-1824     44.14    40.34    42.24
1825-1829     43.08    38.48    40.75
1830-1834     42.50    38.17    40.31
1835-1839     44.30    40.07    42.17
1840-1844     46.02    41.49    43.74
1845-1849     45.61    41.38    43.48
1850-1854     45.05    40.55    42.77
1855-1859     42.89    39.23    41.04
1860-1864     47.34    43.96    45.66
1865-1869     46.10    42.25    44.16
1870-1874     49.03    45.37    47.20
1875-1879     47.77    44.61    46.20
1880-1884     50.01    46.89    48.46
1885-1889     52.40    49.65    51.04
1890-1894     52.29    49.64    50.98
1895-1899     54.66    51.98    53.33
1900-1904     55.27    52.70    54.00
1905-1909     57.66    55.30    56.49
1910-1914     59.38    56.66    58.03
1915-1919     57.24    54.46    55.85
1920-1924     62.29    59.98    61.14
1925-1929     63.33    61.16    62.25
1930-1934     64.92    62.86    63.89
1935-1939     66.49    63.93    65.20
1940-1944     69.22    66.45    67.82
1945-1949     71.01    68.52    69.76
1950-1954     73.14    70.32    71.72
1955-1959     74.56    71.18    72.85
1960-1964     75.44    71.48    73.43
1965-1969     76.42    71.77    74.04
1970-1974     77.55    72.12    74.76
1975-1979     78.38    72.34    75.27
1980-1984     79.39    73.35    76.31
1985-1989     80.07    74.17    77.08
1990-1994     80.77    75.33    78.05
1995-1999     81.71    76.66    79.21
2000-2004     82.24    77.78    80.05
2005-2009     83.01    78.90    80.99
2010-2014     83.69    79.93    81.83
2015-2019     84.24    80.76    82.51
2020-2023     84.69    81.19    82.94
