Iceland, Life expectancy at birth (period, 1x5)	Last modified: 24 Apr 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1838-1839     31.95    28.57    30.26
1840-1844     37.01    32.54    34.74
1845-1849     34.55    30.65    32.57
1850-1854     42.79    37.37    40.04
1855-1859     39.15    33.76    36.40
1860-1864     30.53    25.86    28.11
1865-1869     34.95    29.19    31.98
1870-1874     37.02    32.37    34.69
1875-1879     44.18    36.75    40.41
1880-1884     34.07    30.17    32.12
1885-1889     49.06    42.77    45.89
1890-1894     48.90    43.92    46.42
1895-1899     52.26    46.46    49.39
1900-1904     52.39    47.95    50.23
1905-1909     53.14    47.13    50.12
1910-1914     57.74    52.06    54.92
1915-1919     57.79    52.53    55.18
1920-1924     58.77    52.26    55.49
1925-1929     61.17    58.40    59.85
1930-1934     63.80    59.92    61.91
1935-1939     65.81    60.73    63.28
1940-1944     67.44    62.57    64.99
1945-1949     71.24    67.60    69.42
1950-1954     74.24    69.85    72.04
1955-1959     75.41    70.95    73.15
1960-1964     76.10    71.12    73.53
1965-1969     76.39    71.08    73.64
1970-1974     77.22    71.22    74.09
1975-1979     79.27    73.36    76.22
1980-1984     79.90    73.79    76.74
1985-1989     80.11    75.08    77.56
1990-1994     80.89    76.18    78.52
1995-1999     81.12    76.77    78.93
2000-2004     82.43    78.61    80.54
2005-2009     83.17    79.54    81.36
2010-2014     83.81    80.47    82.16
2015-2019     84.04    80.82    82.43
2020-2022     84.03    81.09    82.53
