Northern Ireland, Life expectancy at birth (period, 1x5)	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1922-1924     55.18    54.34    54.74
1925-1929     56.13    55.30    55.69
1930-1934     58.71    57.20    57.95
1935-1939     59.38    57.70    58.54
1940-1944     61.25    58.66    59.95
1945-1949     66.18    63.49    64.84
1950-1954     69.64    65.94    67.80
1955-1959     71.78    67.65    69.74
1960-1964     72.72    67.77    70.26
1965-1969     73.55    68.18    70.88
1970-1974     73.82    67.31    70.53
1975-1979     74.62    68.03    71.30
1980-1984     75.93    69.57    72.77
1985-1989     77.16    71.06    74.16
1990-1994     78.32    72.62    75.55
1995-1999     79.20    73.91    76.64
2000-2004     80.35    75.45    77.99
2005-2009     81.21    76.40    78.88
2010-2014     82.19    77.96    80.13
2015-2019     82.44    78.68    80.60
2020-2021     82.06    78.23    80.16
