Netherlands, Life expectancy at birth (period, 1x5)	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1850-1854     40.10    38.31    39.20
1855-1859     35.62    33.80    34.70
1860-1864     38.46    36.70    37.56
1865-1869     38.45    36.46    37.43
1870-1874     38.58    36.31    37.42
1875-1879     42.03    39.59    40.78
1880-1884     43.49    40.85    42.14
1885-1889     45.17    42.41    43.76
1890-1894     46.47    43.76    45.09
1895-1899     50.14    47.20    48.64
1900-1904     51.51    48.66    50.05
1905-1909     54.44    52.02    53.21
1910-1914     57.09    54.94    55.99
1915-1919     55.10    53.16    54.11
1920-1924     61.23    59.71    60.45
1925-1929     63.65    62.16    62.89
1930-1934     66.09    64.72    65.39
1935-1939     67.84    66.32    67.07
1940-1944     66.28    62.59    64.39
1945-1949     68.90    64.24    66.51
1950-1954     73.09    70.58    71.83
1955-1959     74.56    71.20    72.87
1960-1964     75.73    71.22    73.44
1965-1969     76.32    71.04    73.64
1970-1974     77.00    71.14    74.02
1975-1979     78.30    71.89    75.06
1980-1984     79.41    72.75    76.08
1985-1989     79.88    73.40    76.67
1990-1994     80.16    74.15    77.21
1995-1999     80.46    74.99    77.80
2000-2004     80.86    76.09    78.55
2005-2009     82.14    77.95    80.13
2010-2014     82.95    79.29    81.19
2015-2019     83.29    80.07    81.72
2020-2021     83.04    79.68    81.37
