England and Wales, Civilian National Population, Life expectancy at birth (cohort, 1x5)	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1841-1844     42.99    39.73    41.34
1845-1849     43.19    39.72    41.44
1850-1854     44.40    40.94    42.65
1855-1859     45.27    41.63    43.43
1860-1864     46.90    43.05    44.96
1865-1869     47.85    43.77    45.79
1870-1874     50.15    45.72    47.92
1875-1879     51.62    46.42    49.02
1880-1884     53.83    48.10    51.02
1885-1889     54.34    47.88    51.24
1890-1894     55.24    48.36    52.01
1895-1899     55.87    48.89    52.52
1900-1904     58.74    52.03    55.36
1905-1909     61.58    54.84    58.18
1910-1914     63.19    56.46    59.81
1915-1919     66.13    59.20    62.72
1920-1924     68.76    62.03    65.41
1925-1929     71.17    65.04    68.06
