Sweden, Life expectancy at birth (cohort, 1x5)	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1751-1754     36.28    33.36    34.81
1755-1759     36.74    33.71    35.22
1760-1764     35.95    32.67    34.32
1765-1769     35.53    32.30    33.92
1770-1774     36.18    33.08    34.64
1775-1779     37.34    33.74    35.54
1780-1784     38.08    34.57    36.34
1785-1789     39.07    35.34    37.22
1790-1794     40.09    35.92    37.99
1795-1799     39.59    35.62    37.58
1800-1804     40.83    36.37    38.56
1805-1809     39.95    35.75    37.82
1810-1814     42.76    38.55    40.63
1815-1819     44.74    40.67    42.67
1820-1824     47.32    43.43    45.36
1825-1829     46.35    42.51    44.42
1830-1834     47.85    43.82    45.82
1835-1839     48.13    44.16    46.13
1840-1844     48.86    45.01    46.93
1845-1849     48.24    44.65    46.44
1850-1854     47.73    44.42    46.06
1855-1859     48.80    45.70    47.24
1860-1864     49.64    46.78    48.21
1865-1869     49.79    47.22    48.50
1870-1874     50.37    48.07    49.21
1875-1879     51.32    48.78    50.03
1880-1884     53.66    50.82    52.22
1885-1889     55.72    52.65    54.18
1890-1894     57.98    54.03    56.00
1895-1899     59.98    55.56    57.75
1900-1904     63.23    58.30    60.74
1905-1909     66.38    61.07    63.68
1910-1914     68.53    62.76    65.57
1915-1919     70.88    64.55    67.64
1920-1924     73.60    66.84    70.14
1925-1929     75.42    68.68    71.98
1930-1932     76.73    70.19    73.41
