France, Total Population, Life expectancy at birth (cohort, 1x5)	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1816-1819     39.77    37.43    38.57
1820-1824     39.48    37.38    38.39
1825-1829     39.85    37.68    38.73
1830-1834     40.42    37.94    39.14
1835-1839     41.71    39.53    40.59
1840-1844     42.61    40.25    41.40
1845-1849     42.44    39.21    40.78
1850-1854     43.10    39.67    41.34
1855-1859     42.82    39.58    41.16
1860-1864     44.31    40.83    42.52
1865-1869     44.75    40.54    42.59
1870-1874     45.98    41.56    43.71
1875-1879     48.18    42.58    45.31
1880-1884     49.05    40.60    44.72
1885-1889     50.69    40.19    45.32
1890-1894     52.28    38.65    45.28
1895-1899     54.57    42.68    48.43
1900-1904     57.17    49.53    53.21
1905-1909     60.02    52.07    55.92
1910-1914     62.31    53.62    57.85
1915-1919     62.79    52.31    57.33
1920-1924     68.55    58.61    63.44
1925-1929     71.53    62.06    66.66
1930-1931     74.01    64.53    69.12
