England and Wales, Total Population, Life expectancy at birth (cohort, 1x5)	Last modified: 27 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1841-1844     42.99    39.73    41.34
1845-1849     43.20    39.72    41.44
1850-1854     44.40    40.94    42.65
1855-1859     45.27    41.64    43.43
1860-1864     46.91    43.05    44.96
1865-1869     47.85    43.77    45.79
1870-1874     50.15    45.67    47.89
1875-1879     51.62    46.16    48.87
1880-1884     53.83    47.34    50.59
1885-1889     54.34    46.04    50.20
1890-1894     55.24    45.03    50.11
1895-1899     55.87    45.47    50.59
1900-1904     58.74    51.77    55.21
1905-1909     61.58    54.65    58.06
1910-1914     63.19    56.01    59.54
1915-1919     66.13    58.14    62.05
1920-1924     68.81    60.58    64.58
1925-1929     71.17    64.24    67.63
