France, Civilian Population, Life expectancy at birth (cohort, 1x5)	Last modified: 26 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1816-1819     39.77    37.43    38.57
1820-1824     39.48    37.38    38.39
1825-1829     39.85    37.68    38.73
1830-1834     40.42    37.94    39.14
1835-1839     41.71    39.53    40.59
1840-1844     42.61    40.25    41.40
1845-1849     42.44    39.21    40.78
1850-1854     43.10    39.67    41.34
1855-1859     42.82    39.58    41.16
1860-1864     44.31    40.82    42.52
1865-1869     44.75    40.49    42.58
1870-1874     45.98    41.43    43.77
1875-1879     48.19    43.10    45.78
1880-1884     49.07    43.19    46.34
1885-1889     50.72    44.24    47.74
1890-1894     52.31    45.00    49.02
1895-1899     54.64    46.25    50.86
1900-1904     57.30    49.90    53.49
1905-1909     60.23    52.75    56.41
1910-1914     62.63    54.75    58.65
1915-1919     63.72    54.92    59.32
1920-1924     69.29    60.11    64.61
1925-1929     71.67    62.21    66.81
1930-1931     74.12    64.62    69.23
