Denmark, Life expectancy at birth (cohort, 1x5)	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1835-1839     45.54    42.91    44.21
1840-1844     45.91    43.63    44.76
1845-1849     44.74    42.21    43.46
1850-1854     45.45    43.43    44.43
1855-1859     47.82    45.95    46.89
1860-1864     47.89    46.17    47.03
1865-1869     50.24    48.50    49.37
1870-1874     51.20    49.59    50.38
1875-1879     51.68    50.29    50.98
1880-1884     53.47    51.67    52.56
1885-1889     54.52    52.18    53.35
1890-1894     57.19    53.78    55.49
1895-1899     60.44    55.77    58.10
1900-1904     63.24    57.92    60.57
1905-1909     65.31    59.50    62.38
1910-1914     67.63    61.49    64.52
1915-1919     68.76    62.39    65.52
1920-1924     70.40    63.81    67.07
1925-1929     71.21    65.06    68.08
1930-1932     72.22    66.35    69.24
