Israel, Total Population, Life expectancy at birth (period, 1x1)	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1983        76.52    73.10    74.82
  1984        76.92    73.31    75.12
  1985        77.17    73.70    75.45
  1986        77.08    73.44    75.27
  1987        77.57    73.72    75.66
  1988        77.91    74.09    76.02
  1989        78.38    74.78    76.61
  1990        78.79    75.31    77.08
  1991        78.67    75.14    76.94
  1992        78.65    74.89    76.80
  1993        79.24    75.48    77.39
  1994        79.51    75.68    77.64
  1995        79.54    75.60    77.62
  1996        80.14    76.20    78.23
  1997        80.18    76.02    78.16
  1998        80.48    76.11    78.36
  1999        80.58    76.59    78.65
  2000        80.92    76.64    78.85
  2001        81.37    77.04    79.27
  2002        81.29    77.12    79.28
  2003        81.65    77.49    79.64
  2004        82.12    77.96    80.11
  2005        82.09    78.17    80.20
  2006        82.41    78.58    80.57
  2007        82.51    78.70    80.67
  2008        82.89    79.02    81.02
  2009        83.30    79.62    81.53
  2010        83.51    79.71    81.67
  2011        83.45    79.87    81.72
  2012        83.55    79.87    81.77
  2013        83.83    80.28    82.12
  2014        84.06    80.33    82.26
  2015        84.08    80.12    82.16
  2016        84.24    80.65    82.50
