France, Civilian Population, Life expectancy at birth (period, 1x10)	Last modified: 26 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1816-1819     39.58    38.05    38.80
1820-1829     39.62    38.31    38.94
1830-1839     39.70    38.30    38.98
1840-1849     41.22    39.73    40.47
1850-1859     40.47    38.87    39.65
1860-1869     42.33    40.94    41.62
1870-1879     42.38    39.62    40.95
1880-1889     44.86    42.34    43.56
1890-1899     46.77    43.67    45.17
1900-1909     49.87    46.22    48.00
1910-1919     51.52    45.89    48.87
1920-1929     56.44    52.19    54.30
1930-1939     60.88    55.34    58.10
1940-1949     63.22    56.59    59.94
1950-1959     71.16    64.98    68.13
1960-1969     74.59    67.40    71.01
1970-1979     76.90    69.03    72.93
1980-1989     79.45    71.26    75.33
1990-1999     81.81    73.77    77.80
2000-2009     83.69    76.55    80.18
2010-2019     85.20    78.99    82.17
2020-2022     85.21    79.27    82.28
