Denmark, Life expectancy at birth (period, 1x10)	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1835-1839     42.40    39.60    40.97
1840-1849     43.19    40.54    41.85
1850-1859     44.59    42.09    43.32
1860-1869     45.60    43.71    44.64
1870-1879     47.38    45.53    46.44
1880-1889     48.88    46.88    47.86
1890-1899     51.09    48.36    49.71
1900-1909     56.47    53.35    54.91
1910-1919     58.92    56.18    57.55
1920-1929     61.92    60.31    61.10
1930-1939     64.58    62.56    63.56
1940-1949     68.63    66.49    67.55
1950-1959     72.98    69.99    71.48
1960-1969     74.83    70.47    72.62
1970-1979     76.79    71.10    73.90
1980-1989     77.57    71.62    74.57
1990-1999     78.20    73.00    75.61
2000-2009     80.10    75.57    77.86
2010-2019     82.53    78.53    80.55
2020-2023     83.40    79.58    81.48
