Norway, Life expectancy at birth (period, 1x10)	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1846-1849     48.05    44.88    46.45
1850-1859     51.56    48.42    50.00
1860-1869     49.51    46.64    48.08
1870-1879     51.20    48.20    49.70
1880-1889     51.62    49.12    50.38
1890-1899     53.36    49.79    51.59
1900-1909     57.17    54.30    55.76
1910-1919     58.50    55.19    56.87
1920-1929     63.24    60.59    61.94
1930-1939     67.19    64.12    65.67
1940-1949     70.30    65.73    67.99
1950-1959     74.98    71.12    73.04
1960-1969     76.33    71.12    73.67
1970-1979     78.03    71.70    74.79
1980-1989     79.54    72.80    76.10
1990-1999     80.63    74.75    77.69
2000-2009     82.24    77.41    79.87
2010-2019     83.95    80.13    82.07
2020-2023     84.65    81.34    83.00
