Netherlands, Life expectancy at birth (period, 1x10)	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1850-1859     37.72    35.91    36.81
1860-1869     38.46    36.58    37.50
1870-1879     40.32    37.97    39.12
1880-1889     44.34    41.64    42.96
1890-1899     48.31    45.49    46.87
1900-1909     52.99    50.36    51.65
1910-1919     56.02    53.98    54.98
1920-1929     62.44    60.93    61.66
1930-1939     66.97    65.52    66.23
1940-1949     67.61    63.44    65.47
1950-1959     73.85    70.89    72.36
1960-1969     76.04    71.12    73.54
1970-1979     77.66    71.51    74.54
1980-1989     79.65    73.08    76.38
1990-1999     80.31    74.58    77.51
2000-2009     81.50    77.03    79.35
2010-2019     83.12    79.70    81.46
2020-2021     83.04    79.68    81.37
