Italy , Life expectancy at birth (period, 1x10)	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1872-1879     33.22    32.66    32.93
1880-1889     35.94    35.79    35.85
1890-1899     40.70    40.46    40.57
1900-1909     44.14    43.59    43.85
1910-1919     44.93    38.68    41.73
1920-1929     51.66    50.09    50.86
1930-1939     57.26    54.71    55.98
1940-1949     60.05    53.43    56.68
1950-1959     69.34    65.22    67.30
1960-1969     72.97    67.42    70.20
1970-1979     75.89    69.58    72.74
1980-1989     78.75    72.16    75.49
1990-1999     81.19    74.74    78.03
2000-2009     83.50    77.95    80.83
2010-2019     84.90    80.33    82.71
2020-2021     84.59    80.05    82.36
