England and Wales, Civilian National Population, Life expectancy at birth (period, 1x10)	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1841-1849     41.34    39.39    40.35
1850-1859     42.17    40.13    41.13
1860-1869     42.81    40.23    41.50
1870-1879     44.49    41.23    42.84
1880-1889     47.02    43.87    45.43
1890-1899     47.81    44.38    46.08
1900-1909     51.88    48.10    49.98
1910-1919     55.18    50.04    52.69
1920-1929     60.69    56.61    58.66
1930-1939     64.09    59.88    62.01
1940-1949     68.06    62.89    65.56
1950-1959     72.83    67.38    70.16
1960-1969     74.56    68.43    71.55
1970-1979     75.78    69.59    72.72
1980-1989     77.62    71.80    74.76
1990-1999     79.35    74.13    76.80
2000-2009     81.26    76.91    79.14
2010-2019     83.04    79.31    81.21
2020-2021     82.67    78.65    80.65
