Iceland, Life expectancy at birth (period, 1x10)	Last modified: 24 Apr 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1838-1839     31.95    28.57    30.26
1840-1849     35.82    31.65    33.70
1850-1859     40.79    35.40    38.05
1860-1869     32.72    27.55    30.05
1870-1879     40.58    34.55    37.53
1880-1889     40.83    35.97    38.40
1890-1899     50.54    45.20    47.89
1900-1909     52.78    47.54    50.19
1910-1919     57.79    52.33    55.08
1920-1929     59.98    55.26    57.65
1930-1939     64.83    60.34    62.61
1940-1949     69.39    65.17    67.28
1950-1959     74.83    70.43    72.61
1960-1969     76.25    71.09    73.59
1970-1979     78.21    72.30    75.14
1980-1989     80.04    74.46    77.18
1990-1999     81.02    76.49    78.74
2000-2009     82.79    79.09    80.95
2010-2019     83.94    80.66    82.30
2020-2022     84.03    81.09    82.53
