Scotland, Life expectancy at birth (period, 1x10)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1855-1859     45.03    41.95    43.54
1860-1869     43.44    40.79    42.14
1870-1879     43.97    41.20    42.61
1880-1889     46.80    44.35    45.60
1890-1899     47.40    44.79    46.12
1900-1909     50.21    47.30    48.76
1910-1919     52.72    49.45    51.09
1920-1929     57.56    54.03    55.80
1930-1939     60.83    57.00    58.92
1940-1949     64.65    59.05    61.96
1950-1959     70.36    65.41    67.94
1960-1969     72.62    66.58    69.66
1970-1979     74.10    67.76    70.99
1980-1989     75.91    69.85    72.96
1990-1999     77.61    71.96    74.86
2000-2009     79.39    74.34    76.94
2010-2019     81.03    76.94    79.03
2020-2021     80.65    76.28    78.47
