Belgium, Life expectancy at birth (period, 1x10)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1841-1849     38.59    38.45    38.53
1850-1859     40.65    40.29    40.47
1860-1869     41.36    40.00    40.66
1870-1879     43.29    41.08    42.15
1880-1889     46.25    43.16    44.65
1890-1899     47.73    44.25    45.94
1900-1909     51.19    47.87    49.49
1910-1919     52.67    49.17    50.88
1920-1929     57.99    54.38    56.15
1930-1939     61.38    57.23    59.26
1940-1949     63.64    57.62    60.52
1950-1959     71.12    65.92    68.48
1960-1969     73.53    67.44    70.44
1970-1979     75.25    68.73    71.96
1980-1989     77.80    71.11    74.46
1990-1999     80.09    73.50    76.83
2000-2009     81.73    75.93    78.88
2010-2019     83.30    78.45    80.91
2020-2022     83.62    79.11    81.38
